"Wendy Mosler","Global Holdings Management Group (US) Inc","http://www.globalholdings-mgmt.com"
"Jason Muss","Muss Development LLC","http://www.muss.com"
"Miki Naftali","Naftali Group LLC",
"James P Nelson","Avison Young New York LLC","http://www.avisonyoung.com"
"Jay A. Neveloff","Kramer Levin Naftalis & Frankel LLP","http://www.kramerlevin.com"
"Mario J. Palumbo","Millennium Partners","http://millenniumptrs.com/#home"
"Paul E. Pariser","Taconic Partners, LLC","https://taconicpartners.com"
"Frederick Peters","Coldwell Banker Warburg","http://www.warburgrealty.com"
"Michael Phillips","Jamestown Properties",
"Martin Piazzola","AvalonBay Communities, Inc.","http://www.avalonbay.com"
"David L. Picket","Gotham Organization Inc","http://www.gothamorg.com"
"Joel Picket","Gotham Organization Inc","http://www.gothamorg.com"
"Carole Pittelman","Glenwood Management Corp","http://www.glenwoodnyc.com"
"Scott Rechler","RXR Realty","http://www.rxrrealty.com"
"Gregory R. Reimers","JPMorgan Chase & Co.","http://www.jpmorganchase.com"
"Jonathan Resnick","Resnick, Jack & Sons","http://www.resnick.nyc"
"Scott N. Resnick","SR Capital, LLC","http://www.srcapitalnyc.com"
"Peter G Riguardi","JLL","http://www.us.jll.com"
"Andrew Roos","Colliers International NY LLC","http://www.colliers.com"
"Amy Rose","Rose Associates Inc","http://www.rosenyc.com"
"Daniel Rose","Rose Associates Inc","http://www.rosenyc.com"
"Aby Rosen","RFR Realty LLC","http://www.rfr.com/home"
"Stephen M. Ross","Related Companies, L.P.","http://www.related.com"
"David Rothenberg","Tishman Realty Corporation","http://www.tishman.com/"
"Steven Rubenstein","Rubenstein","http://www.rubenstein.com"
"William C. Rudin","Rudin Management Co Inc","http://www.rudin.com"
"John Santora","Cushman & Wakefield Inc","http://www.cushmanwakefield.com"
"Sujohn Sarkar","Trinity Church Wall Street","https://www.trinitywallstreet.org/"
"Robert Scharf","Edison Properties, LLC","http://www.edisonproperties.com"
"Nadir Settles","Nuveen Real Estate","http://www.nuveen.com/global"
"Jeremy E. Shell","TF Cornerstone Inc.","http://www.tfcornerstone.com"
"David Sigman","LCOR Incorporated","http://www.lcor.com"
"Larry A. Silverstein","Silverstein Properties, Inc.","http://www.silversteinproperties.com"
"Lisa Silverstein","Silverstein Properties, Inc.","http://www.silversteinproperties.com"
"Andrew J Singer","Avison Young New York LLC","http://www.avisonyoung.com"
"Scott E. Solomon","Pan Am Equities, Inc.",
"Hilary Spann","Boston Properties (BXP)","http://bostonproperties.com"
"Jerry I. Speyer","Tishman Speyer Properties LP","http://www.tishmanspeyer.com"
"Rob Speyer","Tishman Speyer Properties LP","http://www.tishmanspeyer.com"
"Darcy Stacom","CBRE Inc","https://www.cbre.com"
"Elizabeth Stribling","Stribling & Associates Ltd","http://www.stribling.com"
"Howard Swarzman","Glenwood Management Corp","http://www.glenwoodnyc.com"
"Mary Ann Tighe","CBRE Inc","https://www.cbre.com"
"Daniel R. Tishman","Tishman Realty & Construction Co., Inc.","http://www.tishman.com/"
"James von Albade","Equity Residential","https://www.equityapartments.com/"
"James Wacht","Lee & Associates NYC LLC","http://www.leeassociatesnyc.com"
"Jed Walentas","Two Trees Management Co. LLC","http://twotreesny.com/"
"Kevin Wang","KRW Realty Advisors LLC",
"Bernard Warren","Webb & Brooker, Inc.","http://www.webb-brooker.com/"
"Philip Waterman, III","WatermanClark, LLC","https://watermanclark.com/"
"Glen Weiss","Vornado Realty Trust","https://www.vno.com"
"Alan Wiener","Wells Fargo Multifamily Capital Group","https://www.wellsfargo.com/com/financing/real-estate/multi-family-capital"
"Fred Wilpon","Sterling Equities, Inc.","http://www.sterlingequities.com"
"Jeffrey S. Wilpon","Sterling Equities, Inc.","http://www.sterlingequities.com"
"Lary S. Wolf","Roberts & Holland LLP",
"Young Woo","Youngwoo & Associates, LLC","http://www.iyoungwoo.com/"
"Donald Zucker","Zucker Donald Company",
"Laurie Zucker","Zucker Donald Company",
